Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
1990,5,,152,FrRnd,25,Angels,N,Doug Creek (minors),LHP,-1.1,279,5,0,0.2,0.4,279,7,14,5.32,1.6,1,4Yr,Georgia Institute of Technology (Atlanta GA)
1990,6,,157,FrRnd,3,Tigers,Y,Steve Wolf (minors),RHP,,,,,,,,,,,,,4Yr,California State University Fresno (Fresno CA)
1990,6,,161,FrRnd,7,Mariners,Y,Mike Hampton (minors),LHP,29,448,725,16,0.246,0.65,419,148,115,4.06,1.44,1,HS,Crystal River HS (Crystal River FL)
1990,6,,165,FrRnd,11,Yankees,Y,Sam Militello (minors),RHP,1.2,12,0,0,,,12,4,4,3.89,1.33,0,4Yr,University of Tampa (Tampa FL)
1990,6,,166,FrRnd,12,Expos,Y,Steve Long (minors),RHP,,,,,,,,,,,,,4Yr,St. Xavier University (Orland Park IL)
1990,6,,168,FrRnd,14,Cardinals,Y,George Sells (minors),LHP,,,,,,,,,,,,,4Yr,Old Dominion University (Norfolk VA)
1990,6,,169,FrRnd,15,Brewers,Y,Tom McGraw (minors),LHP,0.1,2,0,0,,,2,0,0,0,1.8,0,4Yr,Washington State University (Pullman WA)
1990,6,,173,FrRnd,19,Red Sox,Y,Gar Finnvold (minors),RHP,0,8,0,0,,,8,0,4,5.94,1.65,0,4Yr,Florida State University (Tallahassee FL)
1990,6,,180,FrRnd,26,Royals,Y,Wade Fyock (minors),RHP,,,,,,,,,,,,,HS,Somerset HS (Somerset PA)
1990,7,,185,FrRnd,4,Phillies,Y,Joel Adamson (minors),LHP,0.2,44,10,0,0.3,0.7,44,5,6,4.89,1.43,0,JC,Cerritos College (Norwalk CA)
1990,7,,188,FrRnd,7,Mariners,Y,Kevin King (minors),LHP,-0.7,34,0,0,,,34,0,3,7.34,1.92,0,4Yr,University of Oklahoma (Norman OK)
1990,7,,194,FrRnd,13,Twins,Y,Tim Persing (minors),RHP,,,,,,,,,,,,,4Yr,Mansfield University of Pennsylvania (Mansfield PA)
1990,7,,195,FrRnd,14,Cardinals,Y,Scott Baker (minors),LHP,-0.1,1,0,0,,,1,0,0,9.82,2.73,0,JC,Taft College (Taft CA)
1990,7,,197,FrRnd,16,Astros,Y,David Nix (minors),LHP,,,,,,,,,,,,,HS,Harrison HS (Evansville IN)
1990,7,,198,FrRnd,17,Rangers,Y,Terry Burrows (minors),LHP,-1.2,50,0,0,,,50,4,4,6.42,1.79,1,4Yr,McNeese State University (Lake Charles LA)
1990,7,,199,FrRnd,18,Mets,Y,Pete Walker (minors),RHP,3.7,144,1,0,0,0,144,20,14,4.48,1.46,4,4Yr,University of Connecticut (Storrs CT)
1990,7,,200,FrRnd,19,Red Sox,Y,Todd Miller (minors),RHP,,,,,,,,,,,,,4Yr,Temple University (Philadelphia PA)
1990,7,,202,FrRnd,21,Orioles,Y,Shane Hale (minors),LHP,,,,,,,,,,,,,4Yr,University of South Alabama (Mobile AL)
1990,7,,204,FrRnd,23,Blue Jays,Y,Scott Brow (minors),RHP,-1.4,59,1,0,0,0,59,3,4,6.06,1.76,2,4Yr,University of Washington (Seattle WA)
1990,7,,205,FrRnd,24,Cubs,Y,Adrian Sanchez (minors),RHP,,,,,,,,,,,,,HS,Rio Grande HS (Albuquerque NM)
1990,7,,206,FrRnd,25,Angels,Y,Randy Powers (minors),RHP,,,,,,,,,,,,,4Yr,University of Southern California (Los Angeles CA)
1990,7,,208,FrRnd,27,Athletics,Y,Dan Vizzini (minors),LHP,,,,,,,,,,,,,4Yr,Francis Marion University (Florence SC)
1990,8,,214,FrRnd,6,Pirates,Y,Jeff Conger (minors),LHP,,,,,,,,,,,,,HS,Charlotte Latin HS (Charlotte NC)
1990,8,,215,FrRnd,7,Mariners,Y,John Cummings (minors),LHP,-0.8,110,3,0,0,0,110,10,15,5.33,1.65,0,4Yr,University of Southern California (Los Angeles CA)
1990,8,,216,FrRnd,8,Reds,Y,Larry Luebbers (minors),RHP,-0.2,36,40,0,0.2,0.458,36,5,10,4.96,1.49,1,4Yr,University of Kentucky (Lexington KY)
1990,8,,217,FrRnd,9,Indians,Y,Shawn Bryant (minors),LHP,,,,,,,,,,,,,4Yr,Oklahoma City University (Oklahoma City OK)
